Plant_species,Mycorrhizal_strategy,Dourght_adaptation
Acer_saccharum_subsp._floridanum,AM,sensitive
Acer_circinatum,AM,sensitive
Acer_tataricum_subsp._ginnala,AM,tolerant
Acer_macrophyllum,AM,sensitive
Acer_pensylvanicum,AM,sensitive
Acer_rubrum,AM,sensitive
Acer_saccharinum,AM,tolerant
Acer_spicatum,AM,sensitive
Aconitum_columbianum,AM,sensitive
Aesculus_flava,AM,sensitive
Aesculus_pavia,AM,sensitive
Aesculus_sylvatica,AM,sensitive
Agastache_urticifolia,AM,sensitive
Agrostis_canina,AM,sensitive
Agrostis_capillaris,AM,sensitive
Agrostis_exarata,AM,sensitive
Agrostis_gigantea,AM,sensitive
Agrostis_pallens,AM,sensitive
Agrostis_perennans,AM,sensitive
Agrostis_scabra,AM,sensitive
Agrostis_stolonifera,AM,sensitive
Ajuga_reptans,AM,sensitive
Allium_validum,AM,sensitive
Alopecurus_aequalis,AM,sensitive
Alopecurus_magellanicus,AM,sensitive
Alopecurus_arundinaceus,AM,sensitive
Alopecurus_pratensis,AM,sensitive
Amelanchier_arborea,AM,sensitive
Amelanchier_canadensis,AM,tolerant
Ampelopsis_cordata,AM,sensitive
Andropogon_glomeratus,AM,sensitive
Anemone_multifida,AM,sensitive
Angelica_arguta,AM,sensitive
Apios_americana,AM,sensitive
Aralia_spinosa,AM,tolerant
Arctagrostis_latifolia,AM,sensitive
Potentilla_anserina,AM,sensitive
Arnica_lanceolata_subsp._prima,AM,sensitive
Arnica_cordifolia,AM,sensitive
Arnica_fulgens,AM,sensitive
Artemisia_arctica,AM,sensitive
Artemisia_tilesii,AM,sensitive
Artocarpus_altilis,AM,sensitive
Arundinaria_tecta,AM,sensitive
Arundo_donax,AM,sensitive
Asimina_triloba,AM,sensitive
Astragalus_cicer,AM,sensitive
Avena_sativa,AM,sensitive
Avena_strigosa,AM,sensitive
Axonopus_compressus,AM,sensitive
Baccharis_halimifolia,AM,sensitive
Baccharis_salicifolia,AM,sensitive
Berberis_thunbergii,AM,tolerant
Bidens_aristosa,AM,sensitive
Bidens_cernua,AM,sensitive
Bidens_trichosperma,AM,sensitive
Bidens_discoidea,AM,sensitive
Bidens_frondosa,AM,sensitive
Bidens_laevis,AM,sensitive
Bidens_mitis,AM,sensitive
Bidens_tripartita,AM,sensitive
Boltonia_asteroides,AM,sensitive
Borrichia_frutescens,AM,sensitive
Bromus_arvensis,AM,sensitive
Bromus_catharticus,AM,sensitive
Calamagrostis_canadensis,AM,sensitive
Calycocarpum_lyonii,AM,sensitive
Camassia_scilloides,AM,sensitive
