Plant_species,Mycorrhizal_strategy,Drought_adaptation
Aconitum_columbianum,AM,sensitive
Agrostis_canina,AM,sensitive
Agrostis_capillaris,AM,sensitive
Agrostis_exarata,AM,sensitive
Agrostis_gigantea,AM,sensitive
Agrostis_pallens,AM,sensitive
Agrostis_perennans,AM,sensitive
Agrostis_scabra,AM,sensitive
Agrostis_stolonifera,AM,sensitive
Ajuga_reptans,AM,sensitive
Allium_validum,AM,sensitive
Anemone_multifida,AM,sensitive
Angelica_arguta,AM,sensitive
Arctagrostis_latifolia,AM,sensitive
Potentilla_anserina,AM,sensitive
Arnica_lanceolata_subsp._prima,AM,sensitive
Arnica_cordifolia,AM,sensitive
Arnica_fulgens,AM,sensitive
Artemisia_arctica,AM,sensitive
Artemisia_tilesii,AM,sensitive
Avena_sativa,AM,sensitive
Avena_strigosa,AM,sensitive
Berberis_thunbergii,AM,sensitive
Bidens_aristosa,AM,sensitive
Bidens_cernua,AM,sensitive
Bidens_trichosperma,AM,sensitive
Bidens_discoidea,AM,sensitive
Bidens_frondosa,AM,sensitive
Bidens_laevis,AM,sensitive
Bidens_mitis,AM,sensitive
Bidens_tripartita,AM,sensitive
Bromus_arvensis,AM,sensitive
Bromus_catharticus,AM,sensitive
Calamagrostis_canadensis,AM,sensitive
Campanula_americana,AM,sensitive
Circaea_alpina,AM,sensitive
Convallaria_majalis,AM,sensitive
Cornus_alternifolia,AM,sensitive
Cornus_amomum,AM,sensitive
Cornus_canadensis,AM,sensitive
Cornus_foemina,AM,sensitive
Cornus_nuttallii,AM,sensitive
Cotoneaster_apiculatus,AM,sensitive
Cotoneaster_salicifolius,AM,sensitive
Deschampsia_cespitosa,AM,sensitive
Digitalis_purpurea,AM,sensitive
Digitaria_ciliaris,AM,sensitive
Elymus_repens,AM,sensitive
Epilobium_leptophyllum,AM,sensitive
Erigeron_philadelphicus,AM,sensitive
Festuca_idahoensis,AM,sensitive
Festuca_subverticillata,AM,sensitive
Geranium_richardsonii,AM,sensitive
Geum_rivale,AM,sensitive
Geum_vernum,AM,sensitive
Hedera_helix,AM,sensitive
Heracleum_maximum,AM,sensitive
Hordeum_pusillum,AM,sensitive
Impatiens_capensis,AM,sensitive
Impatiens_pallida,AM,sensitive
Iris_fulva,AM,sensitive
Iris_missouriensis,AM,sensitive
Juniperus_horizontalis,AM,sensitive
Malva_assurgentiflora,AM,sensitive
Leersia_oryzoides,AM,sensitive
Linum_striatum,AM,sensitive
Lolium_perenne,AM,sensitive
Lolium_rigidum,AM,sensitive
Lonicera_involucrata,AM,sensitive
Lonicera_maackii,AM,sensitive
Lonicera_sempervirens,AM,sensitive
Lotus_pedunculatus,AM,sensitive
Mentha_arvensis,AM,sensitive
Myosurus_minimus,AM,sensitive
Oenothera_fruticosa,AM,sensitive
Phalaris_arundinacea,AM,sensitive
Philadelphus_coronarius,AM,sensitive
Phleum_alpinum,AM,sensitive
Phleum_pratense,AM,sensitive
Platanus_occidentalis,AM,sensitive
Potentilla_plattensis,AM,sensitive
Primula_incana,AM,sensitive
Ranunculus_abortivus,AM,sensitive
Ranunculus_alismifolius,AM,sensitive
