Plant species,Latitude,Longitude
Lolium perenne,52.2,5.4
Lolium perenne,52.2,5.4
Lolium perenne,52.2,5.4
Lolium perenne,52.2,5.4
Lolium perenne,52.2,5.4
Lolium perenne,52.2,5.4
Trifolium repens,53.3,6.383
Trifolium repens,53.233,6.45
Trifolium repens,53.267,6.317
Trifolium repens,53.283,6.15
Trifolium repens,53.3,6.183
Trifolium repens,53.167,6.267
Trifolium pratense,50,5.967
Trifolium pratense,53.483,6.15
Trifolium pratense,53.183,5.733
Trifolium pratense,49.983,6.133
Trifolium pratense,41.033,73.167
Trifolium pratense,41.05,73.2
Trifolium pratense,40.983,73.183
Trifolium pratense,40.817,73.467
Trifolium pratense,41.233,73.367
Trifolium pratense,41.583,72.683
Trifolium pratense,40.817,73.467
Trifolium repens,52.567,5.033
Trifolium repens,52.783,4.867
Trifolium repens,52.233,7
Trifolium repens,52.2,5.4
Solanum melongena,45.1,35
Solanum melongena,9.1,8.7
Trifolium repens,52.2,5.4
Solanum melongena,34.733,36.583
Trifolium repens,31.5,35.1
Trifolium repens,52.2,5.4
Trifolium repens,52.2,5.4
Trifolium repens,51.2,10.5
Trifolium repens,56,10.7
Trifolium repens,52.2,5.4
Trifolium repens,50.5,4.5
Trifolium repens,52.2,5.4
Trifolium repens,52.2,5.4
Trifolium repens,56,10.7
Trifolium repens,52.2,5.4
Trifolium repens,56,10.7
Trifolium repens,52.2,5.4
Trifolium repens,52.2,5.4
Trifolium repens,52.2,5.4
Trifolium repens,52.2,5.4
Trifolium repens,52.2,5.4
Trifolium repens,56,10.7
Trifolium repens,52.2,5.4
Trifolium repens,53.25,6.617
Trifolium repens,53.267,6.65
Trifolium repens,53.333,6.45
Trifolium repens,53.5,6.267
Solanum melongena,4.9,72.967
Trifolium repens,52.583,4.667
Solanum melongena,1.883,73.55
Trifolium repens,52.633,6.55
Solanum melongena,3.2,73
Trifolium repens,52.7,6.533
Trifolium repens,53.183,5.733
Trifolium repens,52.45,6.85
Trifolium repens,52.23,6.126
Trifolium repens,52.433,6.9
Trifolium repens,52.283,6.1
Trifolium repens,52.217,6.15
Trifolium repens,41.25,73.35
Trifolium repens,41.233,73.367
Trifolium repens,42,12.6
Trifolium repens,52.2,5.4
Solanum melongena,-0.667,73.117
Trifolium repens,52.517,6.467
Trifolium repens,40.983,73.183
Trifolium repens,41.15,70.417
Trifolium repens,40.983,73.183
Lolium perenne,52.2,5.4
Solanum melongena,19,85
Trifolium repens,40.983,73.183
Trifolium repens,53.117,5.683
Trifolium repens,52.2,5.4
Trifolium pratense,41.083,70.683
Trifolium repens,52.2,5.4
Phleum pratense,52.2,5.4
Solanum melongena,33.47,36.28
Trifolium pratense,43.9,20.2
Trifolium pratense,52.283,6.1
Lolium perenne,49.8,19.5
Lolium perenne,49.8,19.5
Lolium perenne,49.8,19.5
Lolium perenne,49.8,19.5
Lolium perenne,49.8,19.5
Lolium perenne,49.8,19.5
Lolium perenne,49.8,19.5
